"filename", "language", "CSS", "TypeScript", "JSON", "HTML", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/images-room-preview/images-room-preview.component.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 6, 18
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms-details/rooms-details.component.css", "CSS", 46, 0, 0, 0, 0, 0, 0, 11, 57
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms-details/rooms-details.component.html", "HTML", 0, 0, 0, 20, 0, 0, 2, 2, 24
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms-details/rooms-details.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms-details/rooms-details.component.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 9, 48
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms.component.html", "HTML", 0, 0, 0, 23, 0, 0, 0, 1, 24
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms.component.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 7, 39
"/Users/paololauria/dev/angular/bnb/src/app/components/rooms/rooms.module.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 5, 39
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/footer/footer.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/footer/footer.component.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 6, 64
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/footer/footer.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/footer/footer.component.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/menu/menu.component.css", "CSS", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/menu/menu.component.html", "HTML", 0, 0, 0, 39, 0, 0, 0, 7, 46
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/menu/menu.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/menu/menu.component.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 10, 74
"/Users/paololauria/dev/angular/bnb/src/app/components/shared/shared.module.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 2, 25
"/Users/paololauria/dev/angular/bnb/src/app/material/material.module.ts", "TypeScript", 0, 116, 0, 0, 0, 0, 6, 1, 123
"/Users/paololauria/dev/angular/bnb/src/index.html", "HTML", 0, 0, 0, 34, 0, 0, 0, 1, 35
"/Users/paololauria/dev/angular/bnb/src/main.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 4, 8
"/Users/paololauria/dev/angular/bnb/src/model/booking-dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/paololauria/dev/angular/bnb/src/model/room-availability-dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/paololauria/dev/angular/bnb/src/model/rooms-dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/paololauria/dev/angular/bnb/src/model/user-dto.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Users/paololauria/dev/angular/bnb/src/model/user.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 5, 40
"/Users/paololauria/dev/angular/bnb/src/services/auth/auth-interceptor.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 3, 30
"/Users/paololauria/dev/angular/bnb/src/services/auth/auth.service.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 3, 17, 176
"/Users/paololauria/dev/angular/bnb/src/services/auth/manager.guard.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 5, 3, 43
"/Users/paololauria/dev/angular/bnb/src/services/booking/booking.service.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 5, 27
"/Users/paololauria/dev/angular/bnb/src/services/rooms/rooms.service.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"/Users/paololauria/dev/angular/bnb/src/services/theme/theme.service.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/paololauria/dev/angular/bnb/src/services/user/user.guard.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 5, 2, 45
"/Users/paololauria/dev/angular/bnb/src/services/user/user.service.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/paololauria/dev/angular/bnb/src/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/paololauria/dev/angular/bnb/tsconfig.app.json", "JSON", 0, 0, 13, 0, 0, 0, 1, 1, 15
"/Users/paololauria/dev/angular/bnb/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 32, 0, 1, 1, 34
"/Users/paololauria/dev/angular/bnb/tsconfig.spec.json", "JSON", 0, 0, 13, 0, 0, 0, 1, 1, 15
"Total", "-", 220, 1387, 13432, 410, 32, 14, 29, 363, 15887
